Company_Name,Founded,HeadQuarter,Industry,About_Company,Founders,Investor,Amount,Round/Series
Krayonnz,2019,Bangalore,EdTech,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,"Saurabh Dixit, Gurudutt Upadhyay",GSF Accelerator,100000,Pre-seed
qZense,2019,Bangalore,AgriTech,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,"Rubal Chib, Dr Srishti Batra","Venture Catalysts, 9Unicorns Accelerator Fund",600000,Seed
MyClassboard,2008,Hyderabad,EdTech,MyClassboard is a full-fledged School / College Management Software.,Ajay Sakhamuri,ICICI Bank.,600000,Pre-series A
Rupeek,2015,Bangalore,FinTech,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.","Amar Prabhu, Ashwin Soni, Sumit Maniyar","KB Investment, Bertelsmann India Investments",45000000,Series C
Gig India,2017,Pune,Crowdsourcing,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,"Aditya Shirole, Sahil Sharma","Shantanu Deshpande, Subramaniam Ramadorai",1000000,Pre-series A
Slurrp Farm,2016,Gurgaon,Food & Bevarages,Slurrp Farm is a children health food brand.,Meghana Narayan,Fireside Ventures,2000000,Series A
Shiprocket,2017,New Delhi,E-commerce,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,"Gautam Kapoor, Saahil Goel, Vishesh Khurana","Bertelsmann India Investments, InnoVen Capital",7500000,Series C
CoinDCX,2017,Mumbai,FinTech,CoinDCX is a company that specializes in crypto-enabled financial services.,"Neeraj Khandelwal, Sumit Gupta","Coinbase Ventures, Polychain",10000000,Series B
Arya,1982,Noida,AgriTech,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation","Chattanathan Devarajan, Prasanna Rao, Anand Chandra",Quona Capital,21000000,Series B
Countingwell,2018,Bangalore,EdTech,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.",Nirmal Shah,"Delhi Private School, UAE, Interstar",1000000,Pre-series A
Callify.ai,2016,Mumbai,Tech Startup,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,"Chetan Indap, Sunny Sharma, Deepanti Kavi",Malpani Ventures,560000,Seed
Cover it Up,2013,Chennai,E-commerce,Online portal that churns out high quality products,Ronak Sarda,Angel investors,400000,Seed
BiteSpeed,2019,Gurgaon,E-commerce,Chat-based commerce for E-commerce brands,"Vinayak, Kshitij Abhishek, Apoorv Sadana",Whiteboard Capital,275000,Seed
WakeFit,2016,Bangalore,Retail,Wakefitkart is a mattress manufacturing company,"Ankit Garg, Chaitanya Ramalingegowda",Sequoia Capital.,20000000,Series B
PagarBook,2019,Bangalore,Software company,"Staff's Salary, Work & Attendance Management Application","Adarsh Kumar, Rupesh Mishra","Sequoia Capital, India Quotient",15000000,Series A
Infinite Uptime,2015,Pune,IoT startup,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,Raunak Bhinge,"Infrastructure Leasing & Financial Services Limited, Dorm Room Fund",5100000,Series B
HappyLocate,2016,Bangalore,SaaS startup,"HappyLocate is India's first One Stop Relocation Platform, transforming the way Employee Relocations are managed","Ajay Tiwari, Sainadh Duvvuru",The CoWrks Foundry,500000,Pre-series A
Loop Health,2017,Pune,HealthTech,Loop Health is bringing ease and choice to patients seeking major medical treatments.,"Mayank Kale, Ryan Singh","Y Combinator, Sierra Ventures",2300000,Seed
TagMango,2019,Mumbai,Marketing company,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.","Divyanshu Damani, Mohammad Hasan","XRM Media, Kevin Lin",700000,Seed
The New Shop,2019,New Delhi,Retail startup,The New Shop is a chain of high speed retail stores,"Charak Almast, Aastha Almast, Mani Dev Gyawali",Huddle Accelerator,500000,Seed
BHIVE Investech,2014,Bangalore,Co-working Startup,BHIVE is Bangalore's (India) largest Coworking space that allows entrepreneurs to take their ideas to the next level.,"Monnappa Bayavanda, Prashant Reddy, Ravindra M.K, Ravindra M.K., Shesh Paplikar, Shesh Paplikar, Sridhar Venkataraman",Blume Ventures,1000000,Seed
Bombay Play,2017,Bangalore,Gaming startup,Bombay Play is a Card and Toy Company Making games for India.,"Abhas Saroha, Oliver Jones, Oliver Jones","Ramakant Sharma, Leo Capital India",1000000,Seed
Atomberg Technologies,2012,Mumbai,Consumer appliances,"Atomberg Technology aspires to be the ""Tesla"" of the world of household appliances","Manoj Meena, Sibabrata Das","Sandeep Tandon, Survam Partners",9000000,Series B
DealShare,2018,Jaipur,E-commerce,DealShare is a Social Commerce Startup,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Falcon Edge Capital, Omidyar Network",21000000,Series C
CueMath,2011,Bangalore,EdTech,Cuemath is an engaging ‘learning-by-doing’ methodology for students with face-to-face sessions from highly-trained Cuemath teachers.,Manan Khurma,"Sequoia Capital India, CapitalG",40000000,Series C
5C Network,2014,Bangalore,HealthTech,"5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate",Kalyan Sivasailam,"Axilor Ventures, Unitus Ventures",1200000,Pre-series A
Ethereum Push Notification Service,2020,Mumbai,Blockchain startup,EPNS is a decentralized notification protocol,"Harsh Rajat, Richa Joshi",Prolific angel investors,750000,Seed
Mihup,2016,Kolkata,Conversational AI platform,Intelligence-based personal mobile assistant app,"Biplab Chakraborty, Sandipan Chattopadhyay, Sandipan Mandal, Tapan Barman","Ideaspring Capital, Accel",1500000,Series A
WayCool Foods,2015,Chennai,AgriTech,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.","Karthik Jayaraman, Sanjay Dasari","FMO, IndusInd Bank",7800000,Debt
Infra.Market,2016,Thane,Real Estate,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,"Aaditya Sharda, Souvik Sengupta","Trifecta Capital Advisors, Nexus Venture Partners",20000000,Series B
Clovia,2013,Noida,E-commerce,Clovia is the online lingerie retailer,"Neha Kant, Pankaj Vermani","Golden Birch Investments, She Capital",4000000,Pre-series C
Codingal,2020,Bangalore,EdTech,Coding education platform for K-12 students,"Satyam Baranwal, Vivek Prakash","Pras Hanuma, Rebright Partners, Java Capital, and GSF Accelerator.",560000,Seed
CRED,2018,Bangalore,Finance company,CRED is a members-only app that rewards the user with exclusive rewards for paying credit card bills.,Kunal Shah,"General Catalyst, Ribbit Capital",80000000,Series C
SAWO Labs,2020,Mumbai,SaaS platform,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,Prabhat Sahu,"StartupXseed Ventures, 100X.VC",600000,Seed
GetWork,2019,Gurugram,HR Tech,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,Rahul Veerwal,India Accelerator,40000,Pre-seed
Mobile Premier League (MPL),2018,Bangalore,Gaming,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",500000,Series B
NewsReach,2018,Gujarat,Digital Media,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,"Darshan Shah, Soniya Kundnani","Mumbai Angels, JITO Angel Network.",1500000,Seed
Cashfree,2015,Bangalore,FinTech,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,"Akash Sinha, Reeju Datta","George Osborne, Smilegate Investment",35000000,Series B
Credgenics,2018,New Delhi,FinTech,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures",3000000,Pre-series A
GeoIQ,2018,Bangalore,AI startup,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.","Devashish Fuloria, Tusheet Shrivastava, Ankita Thakur","Ankur Mittal, Mitesh Shah",300000,Seed
Country Delight,2015,Haryana,Dairy startup,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,"Chakradhar Gade, Nitin Kaushal","IIFL Asset Management, Matrix Partners",25000000,Series C
Quintype,2014,Bangalore,Content management,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",Chirdeep Shetty,IIFL AMC,3500000,Series A
CARS24,2015,Haryana,Retail,CARS24 is an India-based platform for selling used cars.,"Mehul Agrawal, Ruchit Agarwal, Vikram Chopra","Global Car Group, Freemark holdings",200000000,Series E
Cityflo,2015,Mumbai,Transportation,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,"Advaith Vishwanath, Ankit Agrawal, Jerin Venad, Rushabh Shah, Sankalp Kelshikar, Subhash Sundaravadivelu","Anupam Mittal, India Quotient",7000000,Series A
Credgenics,2018,Gurugram,FinTech,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures",3000000,Pre-series A
Ensuredit,2019,Gurugram,FinTech,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,"Amit, Rohit Sadhu, and Vikas Ranga",Venture Catalysts,300000,Pre-series A
Shipsy,2015,Gurugram,AI Company,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,"Dhruv Agrawal, Himanshu Gupta, Soham Chokshi","DTDC, Udaan Angel Partners",6000000,Series A
Yellow Classes,2020,Gurugram,EdTech,New-age fun-learning platform for kids.,"Arpit Mittal, Anshul Gupta",India Quotient,1300000,Pre-series A
Country Delight,2015,Haryana,Food and Beverages,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,"Chakradhar Gade, Nitin Kaushal","Orios Venture Partners, Matrix Partners India",25000000,Series C
SignalX,2018,Hyderabad,AI startup,SignalX offers an artificial intelligence-powered SaaS platform,"Govind Balachandran, Zakir Wahab, Piyush Arora","9Unicorns, 3Lines VC, Hyderabad Angels",800000,Seed
Krimanshi,2015,Jodhpur,Biotechnology company,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City",600000,Seed
Instoried,2018,Bangalore,AI startup,Instoried is an augmented writing platform which improves customer interest and engagement.,"Sharmin Ali, Sutanshu Raj","Venture Catalysts, SOSV",1000000,Pre-series A
Arata,2017,New Delhi,E-commerce,Arata is an e-commerce site for beauty products and cosmetics.,"Dhruv Madhok, Dhruv Bhasin",DSG Consumer Partners,1000000,Pre-series A
Nepra,2006,Ahmedabad,CleanTech,NEPRA Resource Management provides waste management solutions in India.,Sandeep Patel,"Asha Impact, Aavishkaar Venture Capital",18000000,Series C
MindTickle,2011,Pune,SaaS platform,MindTickle offers the industry's most comprehensive sales readiness solution for closing knowledge and skill gaps in customer-facing teams.,"Deepak Diwakar, Krishna Depura, Mohit Garg, Nishant Mungali","Canaan Partners, NewView Capital",100000000,Debt
Krimanshi,2015,Jodhpur,Biotechnology company,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City",600000,Seed
Slice,2016,Bangalore,FinTech,Slice is a card for first-time credit card users. They are inventing the future of finance for young Indians,"Deepak Malhotra, Rajan Bajaj","Better Capital, Gunosy",5000000,Debt
Rapawalk,2017,Bangalore,E-commerce,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,"Kashif Mohammad, Aravind Maddireddy","Sanjay Ramakrishnan, Ravi Garikipati",300000,Seed
Clientjoy,2013,Gujarat,SaaS startup,Client Management Software For Modern Agencies.,"Abhishek Doshi, Anupama Panchal, Shashwat Bhatt, Yash Shah","LetsVenture, Jyotsna Bapat",800000,Pre-series A
MoooFarm,2019,Gurugram,AgriTech,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,"Param Singh, Aashna Singh, Abhijeet Mittal, Jitesh Arora","Navus Ventures, Rockstart",500000,Pre-seed
BitClass,2020,Bangalore,PaaS startup,BitClass is a PaaS solution which helps teachers set up their independent live classes,"Gunjan Kejriwal, Utsav Tiwary","AET Japan, Figure Eight Investments, Waterbridge Ventures",2000000,Seed
Gonuts,2020,Mumbai,Entertainment,Personalised Video shoutouts from favourite celebrity.,"Vinamra Pandiya, Mayank Gupta, Joji George","Sweta Rau, Archana Priyadarshini",400000,Seed
Uolo,2013,Bangalore,EdTech,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,"Pallav Pandey, Ankur Pandey, Siddharth Singh","Rajul Garg, Purvi Capital",2000000,Seed
Kirana King,2014,"Jaipur, Rajastan",Retail,"A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.",Anup Kumar,Rajasthan Venture Capital Fund,900000,Pre-series A
Ather Energy,2013,Bangalore,Automobiles,Ather Energy is a manufacturer of electric scooters.,"Arun Vinayak, Swapnil Jain, Tarun Mehta",HeroMotoCorp Ltd and Sachin Bansal,35000000,Series D
Eggoz,2016,Indore,Food & Bevarages,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.","Abhishek Negi, Aditya Singh, Pankaj Pandey, Uttam Kumar","AVANA Capital, Rebright Partners",1500000,Pre-series A
CHARGE+ZONE,2018,Gujarat,EV startup,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.","Kartikey Hariyani, Pavan Bakeri",Mumbai Angels,3000000,Pre-series A
Stones2milestones,2008,Gurugram,EdTech,Stones2milestones is India (Delhi) Based EdTech Company,"Kavish Gadia, Nikhil Saraf","Menterra Venture Advisors, Emandi Sankara Rao",2000000,Bridge
